nces_district_id,epa_high_priority,epa_rural_indicator
1304770,Yes,No
1304800,Yes,Yes
1304830,Yes,No
1304860,Yes,No
1304890,Yes,No
1305280,Yes,No
1304950,Yes,No
1304980,Yes,No
1305040,Yes,No
1305070,Yes,Yes
1305100,Yes,No
1305130,Yes,No
1300001,Yes,No
1305190,Yes,No
1305220,Yes,No
1305250,No,Yes
1305310,Yes,No
1305340,Yes,No
1305430,Yes,No
1305460,Yes,No
1305490,Yes,No
1305550,Yes,No
1305580,Yes,Yes
1305640,Yes,No
1305730,Yes,Yes
1305760,Yes,No
1305790,Yes,No
1305850,Yes,No
2105850,Yes,No
2100030,Yes,No
2100070,Yes,No
2100150,Yes,No
2100180,Yes,No
2100210,No,Yes
2100240,Yes,No
2100300,Yes,No
2100330,Yes,No
2100390,Yes,No
2100480,Yes,No
2100570,Yes,No
2100620,Yes,No
2100690,Yes,No
2100720,Yes,No
2100810,Yes,No
2100840,Yes,No
2100930,Yes,No
2100960,Yes,Yes
2100990,Yes,No
2101020,Yes,No
2101050,Yes,Yes
2101110,Yes,No
2101150,Yes,No
2101230,Yes,No
2101260,Yes,Yes
2101290,Yes,No
2101320,Yes,No
2101350,Yes,No
2101380,Yes,No
2101410,Yes,Yes
2101440,Yes,No
2101500,Yes,No
2101530,Yes,No
2101590,Yes,No
2101620,Yes,No
2101680,Yes,Yes
2101740,Yes,No
2101760,Yes,No
2101800,Yes,No
2101920,Yes,No
2101950,Yes,No
2101980,Yes,No
2102100,Yes,No
2102070,Yes,No
2102130,Yes,No
2102220,Yes,No
2102300,Yes,No
2102340,Yes,No
2102540,Yes,No
2102520,Yes,No
2102640,Yes,No
2102670,Yes,No
2102790,Yes,Yes
2102860,Yes,No
2102940,Yes,Yes
2102910,Yes,No
2103000,Yes,Yes
2103060,Yes,No
2103120,Yes,Yes
2103150,Yes,No
2103210,Yes,No
2103240,Yes,No
2103270,Yes,Yes
2103330,Yes,No
2103360,Yes,Yes
2103390,Yes,Yes
2103480,Yes,No
2103540,Yes,No
2103630,Yes,No
2103750,Yes,Yes
2103840,Yes,Yes
2103870,Yes,No
2103900,Yes,No
2103990,Yes,Yes
2104080,Yes,Yes
2104140,Yes,Yes
2104170,Yes,No
2104200,Yes,Yes
2104250,Yes,No
2104290,Yes,Yes
2100081,Yes,No
2104380,Yes,No
2104440,Yes,No
2104470,Yes,Yes
2104590,Yes,No
2104620,Yes,Yes
2104650,Yes,No
2104680,Yes,No
2104710,Yes,No
2104770,Yes,No
2104800,Yes,No
2104830,Yes,No
2104860,Yes,No
2104890,Yes,No
2104950,Yes,No
2105040,Yes,Yes
2105070,Yes,No
2105100,Yes,No
2105160,Yes,Yes
2105190,Yes,No
2105220,Yes,No
2105430,Yes,No
2105460,Yes,No
2105550,Yes,No
2105580,Yes,No
2105790,Yes,No
2105820,Yes,No
2105880,Yes,No
2105910,Yes,No
2105970,Yes,Yes
5900194,Not in SIAPE,No
5900031,Not in SIAPE,No
5900078,Not in SIAPE,No
5900111,Not in SIAPE,Yes
5900123,Not in SIAPE,No
5900172,Not in SIAPE,No
5900053,Not in SIAPE,No
5900100,Not in SIAPE,No
2800360,Yes,No
2800420,Yes,Yes
2800450,Yes,No
2800510,Yes,No
2800540,Yes,No
2800570,Yes,No
2800600,Yes,No
2800630,Yes,No
2800820,Yes,No
2800840,Yes,No
2800870,Yes,Yes
2800900,Yes,No
2800930,Yes,No
2800200,Yes,No
2800990,Yes,Yes
2801020,Yes,Yes
2801050,Yes,No
2800750,Yes,No
2801110,Yes,No
2801140,Yes,Yes
2801170,Yes,No
2801200,Yes,No
2801220,Yes,No
2801260,Yes,No
2801290,Yes,No
2801380,Yes,Yes
2801410,Yes,No
2801440,No,Yes
2801470,Yes,No
2801490,Yes,No
2801530,Yes,Yes
2801560,Yes,No
2801590,Yes,Yes
2801620,Yes,No
2800198,Yes,No
2801680,Yes,No
2801710,Yes,No
2801740,Yes,No
2801770,Yes,No
2801800,Yes,No
2801830,Yes,No
2801860,Yes,No
2801890,Yes,No
2801950,Yes,No
2800195,Yes,Yes
2802040,Yes,No
2802190,Yes,No
2802220,Yes,Yes
2802250,Yes,No
2802280,Yes,No
2802310,Yes,Yes
2802340,Yes,No
2802460,Yes,No
2802490,Yes,Yes
2802520,Yes,No
2802610,Yes,No
2802640,Yes,No
2802700,Yes,No
2802820,Yes,No
2802850,Yes,No
2802880,Yes,No
2802910,Yes,No
2803000,Yes,No
2803030,Yes,No
2803060,Yes,No
2803090,Yes,No
2803120,Yes,No
2803150,Yes,No
2803180,Yes,No
2800186,Yes,No
2803210,Yes,No
2803240,Yes,No
2803270,Yes,Yes
2803300,Yes,No
2803390,Yes,No
2803480,Yes,No
2803520,Yes,No
2803570,Yes,No
2803600,Yes,No
2803630,Yes,No
2803690,Yes,No
2803660,Yes,No
2803720,Yes,Yes
2803810,Yes,No
2803780,Yes,Yes
2803870,Yes,No
2803900,Yes,No
2803930,Yes,No
2803990,Yes,No
2804020,Yes,Yes
2803960,Yes,Yes
2804050,Yes,No
2804080,Yes,No
2804110,Yes,No
2800189,Yes,No
2804170,Yes,No
2800187,Yes,No
2804260,No,Yes
2804290,Yes,No
2804320,Yes,No
2804380,Yes,Yes
2804470,Yes,No
2804440,Yes,Yes
2804500,Yes,No
2804530,Yes,No
2804560,Yes,Yes
2800185,Yes,Yes
2804590,Yes,Yes
2800191,Yes,No
2804650,Yes,Yes
2804680,Yes,No
2804710,Yes,Yes
2800196,Yes,No
2804770,Yes,No
2804800,Yes,No
